names,scores,logfoldchanges,pvals,pvals_adj
lgg-1,13.568314,0.7383442,6.172615899912246e-42,1.280817799231791e-40
fkh-9,10.071239,1.5485606,7.403872919936475e-24,8.77887789078182e-23
hpk-1,8.414942,0.9300611,3.9309111698488894e-17,3.625173634416198e-16
hsp-1,7.455182,-0.13879983,8.974379884293633e-14,5.729796387664396e-13
uba-1,6.564947,0.9260787,5.205131823513178e-11,3.0858995810828126e-10
crt-1,4.992684,-0.20156217,5.954592007096055e-07,2.93968128271424e-06
ama-1,4.9905415,1.451774,6.021033952547238e-07,2.93968128271424e-06
cdc-42,4.247381,0.70887583,2.1628395736189027e-05,9.448193926861523e-05
hsp-60,4.108856,1.705433,3.976233680765228e-05,0.00016501369775175697
act-1,3.9530103,0.5293506,7.717412896909238e-05,0.0003050215573540318
F53A9.6,2.9964545,3.5175607,0.002731390344781533,0.009068215944674688
tiar-1,2.5363028,0.5566897,0.011202982364881613,0.035763366780198994
bec-1,2.4392104,0.66365504,0.014719392913981224,0.0440247640293313
hsp-17,1.8628601,0.6653698,0.06248196085133872,0.15715159850488222
fbxa-60,1.7173845,1.9750909,0.08590894691416134,0.2037269312535826
fbxa-59,1.3825076,2.33611,0.16681592692882874,0.37420870094845365
myo-5,1.2476946,0.91368365,0.2121429053331857,0.45148361904242085
sdz-35,1.178937,1.1466631,0.23842326524169544,0.49472827537651803
xpc-1,1.0053339,0.8067741,0.31473607346835997,0.6371486365335092
F22H10.2,0.9770064,1.5037198,0.3285660080078492,0.6493090158250353
atfs-1,0.9118844,0.27923438,0.36182957408708183,0.675365264416125
prdx-2,0.90341586,0.0795864,0.36630521874965327,0.675365264416125
tiar-2,0.65868926,1.1541883,0.5100953461213653,0.8588183152415019
parp-1,0.64323264,0.89896107,0.5200731386309052,0.8588183152415019
cep-1,0.6315092,1.408005,0.5277076394857421,0.8588183152415019
frh-1,0.5956215,0.91488427,0.5514280767651865,0.8801640456059706
wwp-1,0.55483025,0.15626971,0.5790107839380998,0.9067527371106092
F22E5.6,0.48876262,1.2666707,0.6250097682819016,0.9431965594072332
fnci-1,0.34269202,0.47092423,0.731830163884978,0.990698199704518
elt-3,0.33180088,0.4596554,0.7400396190563869,0.990698199704518
lmd-3,0.3133745,0.04255004,0.7539961675114359,0.9933600302134791
hsp-43,0.22405295,0.12663536,0.822716106015397,0.9977321576949799
ctl-1,0.21791671,1.0910292,0.8274940027483115,0.9977321576949799
cul-4,0.18924733,0.27198052,0.8498989724191063,0.9977321576949799
scl-1,0.156032,2.2645388,0.8760077958216306,0.9977321576949799
chaf-2,0.09687627,1.1073368,0.922824651548574,0.9977321576949799
lips-11,0.04369208,21.38554,0.9651498544204985,0.9977321576949799
clk-2,0.041271232,0.114264816,0.967079666078045,0.9977321576949799
hsp-16.48,0.03624714,0.8857699,0.9710852982402752,0.9977321576949799
F42A6.5,0.03557242,2.363067,0.9716232995760096,0.9977321576949799
irld-6,0.004120925,0.15941304,0.9967119867831686,0.9977321576949799
mek-1,0.004043005,0.1508964,0.9967741577267349,0.9977321576949799
gpx-7,-0.0028423227,0.2695303,0.9977321576949799,0.9977321576949799
sip-1,-0.0035135003,0.441189,0.9971966380472416,0.9977321576949799
F43C11.7,-0.014978421,-0.06696764,0.988049396366724,0.9977321576949799
pms-2,-0.031901307,0.15273687,0.9745507551104352,0.9977321576949799
pept-1,-0.034956142,-1.1597162,0.97211471366074,0.9977321576949799
ctl-2,-0.054510612,-0.06583488,0.9565283534104804,0.9977321576949799
skpo-1,-0.098872095,-0.18261348,0.9212398236255129,0.9977321576949799
kreg-1,-0.104370795,-0.97554916,0.9168750974639261,0.9977321576949799
ech-3,-0.18830875,0.040352907,0.8506346300537054,0.9977321576949799
rbx-1,-0.39851665,0.06686347,0.6902493821830753,0.9548449786865875
tdp-1,-0.40094635,-0.10320167,0.688459619329939,0.9548449786865875
gpx-1,-0.4070755,-0.062460676,0.6839525357752081,0.9548449786865875
cdr-4,-0.4254346,0.019758316,0.670519884812836,0.9548449786865875
fsn-1,-0.4572757,-0.046774577,0.6474728925841934,0.9548449786865875
Y73B6BL.14,-0.5188771,-3.2346036,0.6038464703827794,0.9281343896624202
ife-2,-0.6429139,-0.094191805,0.5202799674863328,0.8588183152415019
bar-1,-0.84345263,-1.6452389,0.39897536178834747,0.7045735112432518
apy-1,-0.88844985,-0.08289483,0.37429882124267166,0.675365264416125
hcf-1,-0.9131612,-0.79170895,0.3611577499378904,0.675365264416125
sti-1,-1.2658997,-0.16976897,0.20554900413337507,0.44896229850184555
xpa-1,-1.4220645,-0.46380183,0.15500752948729749,0.35737847076238033
natc-1,-1.7358055,-0.6748143,0.08259822132335039,0.20163683440700242
che-11,-1.9586596,-1.669465,0.050152665843529926,0.13008347703165574
gst-4,-1.9828963,-2.3114305,0.04737900647983153,0.1268534689621296
F45E1.4,-2.4055665,-2.6043806,0.016147409754883737,0.04467450032184501
fipr-24,-2.4232545,-2.1627212,0.015382146468079613,0.0440247640293313
atg-18,-2.4299202,-0.26493177,0.01510214638939468,0.0440247640293313
kgb-1,-3.273332,-0.8330322,0.0010628751534128389,0.003675776572219401
nlp-7,-3.3054035,-1.4254127,0.0009483978408616451,0.0034224791648485454
hsp-70,-3.5093493,-0.43599474,0.0004492044286480488,0.0016947257989903656
ubql-1,-4.9555693,-0.5784623,7.211885864793854e-07,3.32548070432161e-06
F41B4.3,-5.625957,-1.5212551,1.8448220386508123e-08,1.0208015280534494e-07
hsp-110,-7.503928,-0.86395615,6.193315828538057e-14,4.2837101147388235e-13
gst-10,-7.5058074,-3.5387084,6.105116697214687e-14,4.2837101147388235e-13
jnk-1,-7.7621813,-1.2817575,8.348097019344364e-15,6.928920526055822e-14
R12E2.13,-8.89619,-1.9320915,5.779655452715096e-19,5.996392532191912e-18
hsp-3,-10.5311775,-1.2682269,6.205346596776509e-26,8.584062792207504e-25
hsp-16.2,-13.162787,-1.8283405,1.4368563932907794e-39,2.385181612862694e-38
mev-1,-13.8958235,-1.78244,6.714701502092932e-44,1.857734082245711e-42
hsp-4,-33.435947,-4.1628942,4.1196408090563194e-245,1.7096509357583726e-243
xbp-1,-37.890728,-2.8794456,0.0,0.0
